44,澳游国际,澳大利亚 维多利亚州 墨尔本 206 Bourke Street  3000,96623378,,包团定制; 自由行/半自由行定制; 商旅定制; 主题定制; 到地定制; 奢华定制,直客和同业都服务,游学;商旅考察;特色游,行程整体打包收费,澳新,5,"澳游国际有限公司是澳洲政府认可的提供全方位高端定制的服务公司。
公司位于墨尔本市，宗旨是为高端客户提供高品质有创意有个性的豪华旅行体验以及商业考察服务。拥有优秀的旅行设计师，拥有着澳洲高端旅行，移民，留学以及商业投资的第一手资讯，为全球的客户提供量身定制的澳洲行规划方案。",澳大利亚,维多利亚州,44,44,,,,
220,游世旅行（Funfair World）,澳大利亚 南澳大利亚州 No 1 Reid Street 5011,4006258500,,包团定制; 商旅定制; 主题定制; 到地定制; 奢华定制(客单价5万以上),只服务同业,户外主题定制;私人（小团）出游定制,行程整体打包收费,澳新,6,游世旅行（FunFair World）专注于澳洲主题定制及私人（小型团队）定制，由资深当地团队一手服务，旨在为客户提供最深度、最新鲜的旅行项目及体验，和最贴心的私人旅行管家服务！,澳大利亚,南澳大利亚州,220,,,,,
206,在意旅行,德国 萨克森 德累斯顿市 Münchner Str.59 01187,17792358075,,包团定制; 主题定制; 奢华定制(客单价5万以上); 自由行/半自由行定制; 商旅定制; MICE 会奖定制; 到地定制,直客和同业都服务,扎根德国;现推出游学;户外徒步;骑行;博物馆;童话;葡萄酒;啤酒;手工匠人;二战;艺术;建筑等主题路线,根据客人需求确定收费方式,东欧; 中欧,5,在意旅行是扎根德国的深度定制游公司，全体定制师都有在德国生活多年的经验，并且擅长不同领域。从自然风光到人文历史，从饮食娱乐到最新科技，从博物馆到展会厅到啤酒屋到智慧工厂，从小朋友到文艺青年到科技新贵到慢节奏长者，带您用德式眼睛过生活。我们有独家景点，也有对著名景区的不同体验方式。站在正在发生的德国土地上，去掉滤镜，深入其中，看到最真实，体验最美好。在意旅行，更在意你。,德国,萨克森州,206,206,,,,
91,维维德定制旅游,"德国 巴伐利亚 上阿尔高县 Gartenstr.1a, 87544 Blaichach 87544",4915222962335,www.vivid-trip.com,包团定制; 主题定制; 奢华定制(客单价5万以上); 自由行/半自由行定制; MICE 会奖定制; 商旅定制; 到地定制,直客和同业都服务,户外;疗养;啤酒,行程整体打包收费,东欧; 西欧,3,维维德定制旅游来自德国南部度假仙境－阿尔高Allgäu，提倡真正的“德式”度假理念，推广阿尔卑斯山的户外活动项目，当地民宿等。所谓‘德式’度假，即一种‘放松，远离日常，享受阳光，重获力量’的度假模式。,德国,巴伐利亚,91,91,,,,
223,CHANCE TOUR,"韩国 首尔特别市 瑞草区师任堂路28, 549室 06651",+82 10-2687-4668,,包团定制; 自由行/半自由行定制; 商旅定制; 主题定制; MICE 会奖定制; 奢华定制(客单价5万以上),直客和同业都服务,公商务;小包团;朝圣之旅,根据客人需求确定收费方式,日韩,2,"我公司是经韩国国家旅游部门审核认证的接待各国访韩人事赴韩旅游的国际旅行社。 拥有良好的韩国当地酒店、运输等供应旅游资源。我们将与合作伙伴密切配合提供满意的服务方案，满足客户的不同要求。给客户留下深刻而难忘的美丽韩国之旅。
主要服务项目有；
会议、奖励旅游、公务商务考察、青少年交流、美容整形、跆拳道、美食之旅、文化之旅、朝圣之旅、穆斯林、寺院生活体验、私人定制旅游、家庭亲子游、单订房、接送机服务等。",韩国,首尔特别市,223,223,,,,
259,加拿大枫情定制旅游,加拿大 不列颠哥伦比亚省 Burnaby 605-5833 wilson ave is V5H 4R8,15727327300,www.can-trip.com,包团定制; 商旅定制; 主题定制; 奢华定制,直客和同业都服务,摄影;游学;滑雪,根据客人需求确定收费方式,北美,3,温哥华定制旅游地接社，总部在温哥华。现开拓中国市场，直接给更多的定制客户提供最专业的加拿大旅游地接！ 一段旅程，一段故事；一路景色，一路枫情！,加拿大,不列颠哥伦比亚省,259,259,,,,
127,柬埔寨环亚旅行社有限公司,柬埔寨 柬埔寨暹粒（吴哥窟） 17259,00855 66 961168,www.huanyatour.com,包团定制; 主题定制; 奢华定制(客单价5万以上); 自由行/半自由行定制; MICE 会奖定制; 商旅定制; 到地定制,直客和同业都服务,游学;摄影;探险;度假;MICE;,根据客人需求确定收费方式,东南亚,10,"环亚旅游网为 Asia Exclusive Tours Co.,Ltd旗下线上官方网站 （地接，销售和业务接待中心）。地接和销售设在世界闻名的世界七大奇迹之一所在地-柬埔寨暹粒，为游客赴东南亚的必游之地。在越南、老挝、缅甸均设有环亚分社，为您的东南亚多国出游提供全面保障。环亚旅游专注于东南亚中南半岛旅游地接业务，是您东南亚多国出游的最佳选择。",柬埔寨,柬埔寨暹粒（吴哥窟）,127,127,,,,
203,"Overlook Traval Management, LLC 美国远望旅行管理公司",美国 马里兰州 Rockville ,13764648701,,包团定制; 商旅定制; 主题定制; MICE 会奖定制; 到地定制; 奢华定制(客单价5万以上),直客和同业都服务,国家公园;户外活动;野外摄影;军事;职业体育;教育;历史人文;音乐艺术;建筑艺术,根据客人需求确定收费方式,北美,1,Overlook Travel Management (OTM)是注册在美国首都圈，以定制游为核心业务的旅行服务公司，为客户提供优质和独特的服务。OTM在充分挖掘客户需求的前提下，制定超出客户预期的旅行方案，并精心组织实施，最终目的是让客户带走一段美好回忆。OTM推崇不浮夸，不炫耀的旅行，拒绝打卡式旅行。OTM用平和的方式引导客户欣赏自然与人文之美，体验最真实的当地生活。,美国,马里兰州,203,203,,,,
226,美国国际旅行社有限公司,美国 加利福尼亚州 Pacifica 1273 Rosita Road 94044,6503533400,,包团定制; 自由行/半自由行定制; 商旅定制; 主题定制; MICE 会奖定制; 到地定制; 奢华定制(客单价5万以上),只服务同业,游学;美食;婚礼;奢华度假;公商务考察等,行程整体打包收费,北美,10,作为一家专业的地接社，我们于2003年成立于美国花园城市旧金山，它也是中国公民进出美国的主要口岸。在美国，我们在夏威夷、旧金山、洛杉矶、纽约四地共拥有操作团队、巴士团队、导游团队200余人，几乎可以提供全美的旅游服务。公司与美国各州、市旅游局，各旅游行业协会、目的地景点和各大品牌国际知名酒店集团一直保持良好的合作关系。我们更是美国全国旅游协会评选的“中国旅游团赴美项目认可地接社”。,美国,加利福尼亚州,226,226,,,,
195,Coovel,美国 加利福尼亚州 圣荷西 ,+14156576848,www.coovel.com,包团定制; 商旅定制; 奢华定制(客单价5万以上),直客和同业都服务,,行程整体打包收费,北美,6,Coovel商旅管家，专注于为中高端人群提供赴美一站式解决方案。,美国,加利福尼亚州,,,,,,
