111,HHtravel鸿鹄逸游,北京市朝阳区光华路7号汉威大厦B2109  100020,400-690-2323,HHtravel.com ,奢华定制,只服务直客,,行程整体打包收费,日韩; 东南亚; 中东; 非洲; 北欧; 西欧; 中欧; 东欧; 南欧; 北美; 拉丁美; 南北极; 澳新; 海岛; 港澳台,70,"HHtravel，High to Heart高端体验．触动你心。

HHtravel鸿鹄逸游是携程高端旅游品牌，地表高端旅行的定义者。以创作挑战极限、服务精雕细琢的品牌理念，坚持打造高规格：公务舱、高端酒店、米其林餐食、私家团2~6人成行；连续多年成功推出「高端环游世界80天」，行程遍布全球七大洲，更是极地高端游专业领先；旅客可以从北京、上海、广州、成都、香港、台北等多个城市出发，百条高端旅游行程。",中国,北京市,111,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,中青旅耀悦（北京）旅游有限公司,北京市东城区东直门南大街5号100007,010-57074177,www.sparkletour.com,主题定制; 奢华定制,只服务直客,运动乐活;亲子优选;探索野奢,根据客人需求确定收费方式,东南亚; 非洲; 南北极; 海岛; 北美; 西欧; 澳新; 日韩,12,中青旅控股股份有限公司旗下高端旅游品牌耀悦，是目前中国高端旅行市场上的领军品牌，基于中青旅30年来旅游从业经验，自2014年成立就专注服务于追求深度旅游体验的高净值人群。耀悦的私人旅行顾问和目的地专家团队平均从业时间超过10年，60%以上拥有海外留学或工作经历。耀悦严选的供应商网络遍及全球各主要目的地，七大旅行主题覆盖高端客群不同层次的需求，服务能力和产品体系备受赞誉。,中国,北京市,119,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Abercrombie & Kent 中国,北京市朝阳区慈云寺北里210号远洋国际中心二期E座18层100025,400 008 1962,www.akchina.cn,包团定制; 主题定制; 奢华定制; 自由行/半自由行定制; MICE 会奖定制; 商旅定制; 到地定制,直客和同业都服务,探险;休闲;亲子;私人飞机环球;文化艺术;邮轮;家庭;时尚;体育;MICE会奖定制,根据客人需求确定收费方式,日韩; 北欧; 南欧; 澳新; 朝蒙; 南北极; 东欧; 非洲; 港澳台; 拉丁美; 中欧; 中东; 东南亚; 西欧; 北美; 海岛,30,世界高端旅行品牌Abercrombie & Kent，自1962年由英国贵族后裔Geoffrey Kent在非洲创立以来，致力于提供独特的行程和尊贵的服务。目前，A&K在全球拥有53间办公室，脚步遍及世界100多个目的地，是全球唯一能够通过旗下子公司完成大部分地接服务的旅行机构。A&K在中国长江、埃及尼罗河、缅甸伊洛瓦底江上拥有私家豪华游轮，在非洲及欧洲等地拥有豪华营地、专属车队及私人飞机等。,中国,北京市,132,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,众信博睿（北京）国际商务会议展览有限公司,北京市朝阳公园路8号，朝阳公园西二门，众信旅游大厦,010-64489696,,MICE 会奖定制; 商旅定制; 包团定制; 奢华定制,直客和同业都服务,,行程整体打包收费,西欧; 东南亚; 日韩; 北欧; 中欧; 南欧; 澳新; 南北极; 中国大陆; 北美; 东欧; 非洲,10,,中国,北京市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,北京赞那度国际旅行社有限公司,北京市朝阳区东大桥路12号润诚中心一层103  100020,4006790089,ZANADU.CN,包团定制; 自由行/半自由行定制; 奢华定制,只服务直客,,行程整体打包收费,日韩; 东南亚; 中东; 非洲; 北欧; 西欧; 南欧; 拉丁美; 南北极; 澳新; 海岛; 中国大陆,30,ZANADU赞那度是中国顶尖的高端精品线上旅行社，是高端旅行和生活方式媒体领航者。我们拥有完整的产品线、《赞那度旅行人生》季刊、“赞那度旅行人生”微信公众号。我们的旅行视频和短片有逾百万的播放量。2014-2017赞那度连续四年荣登《胡润百富》发布的‘TOP10大中华区最受欢迎出境游奢华旅行社’榜单，Conde Nast Traveler2017悦游金榜高端旅行社TOP5。,中国,北京市,134,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,堪帕斯行游俱乐部,北京市朝阳区姚家园路113号,4000162606,,主题定制; 包团定制; 奢华定制,只服务直客,摄影;探险,根据客人需求确定收费方式,北欧; 南北极; 北美,3,,中国,北京市,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,世界邦旅行网,北京市朝阳区太阳宫冠城大厦902室100028,010-84153773,www.shijiebang.com,包团定制; 主题定制; 自由行/半自由行定制; 商旅定制,直客和同业都服务,亲子;蜜月;体育;自驾;包车;深度;游学,行程整体打包收费,澳新; 南欧; 北欧; 日韩; 东南亚; 西欧; 北美; 海岛; 中东; 中欧; 拉丁美; 非洲; 东欧; 南北极,200,"世界邦旅行网多年专注于出国自由行市场，提供全面的出国自由行定制服务，是国内具有旗舰规模的出国自由行定制服务提供商。

世界邦汇聚全球2,000多名旅行达人， “世界邦行程大师”手机客户端激活用户达500多万；平台上拥有数百万目的地产品库存、数十万种玩法，及上百万条线路的定制能力，旅游资源覆盖欧洲、美洲、大洋洲、亚洲、非洲等地区。为热爱自由旅行的人们提供行前、行中、行后一价全包的出国自由行定制服务。",中国,北京市,253,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,北京柏路旅游咨询有限公司,北京市朝阳区金长安大厦C座2208  100022,010-85565668,www.bloomways.cn,包团定制; 自由行/半自由行定制; 商旅定制; 主题定制; MICE 会奖定制; 到地定制; 奢华定制,直客和同业都服务,游学;旅拍;亲子;体育等,根据客人需求确定收费方式,日韩; 东南亚; 中东; 北欧; 西欧; 东欧; 南欧; 北美; 拉丁美; 澳新; 海岛,20,"柏路旅行Bloomways Travel：新锐出境旅行产品设计以及整体服务公司，

为旅行者定制独特;高品质的旅行产品。

其子品牌，香蕉星球，全力打造一个『超有趣的旅行创意集市』：『买家』是那些厌倦了到此一游;追求目的地深度体验及感官刺激的旅行消费者；

『卖家』是遍布全球;旅行经验丰富;乐于分享其旅行方法论;价值观的旅行爱好者。集结全球成千上万旅行者的经验与智慧，让线路和玩法的创意灵感永不枯竭，适配每一位旅客对旅行体验和品质的个性化需求。",中国,北京市,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,知行有道（北京）科技有限责任公司,北京市朝阳区花园闸路东亿国际传媒产业园C16号1层100124,15010328898,www.zxjclub.com,包团定制; 自由行/半自由行定制; 商旅定制; 主题定制; MICE 会奖定制; 到地定制; 奢华定制; 户外探险,直客和同业都服务,探险;徒步;体育;赛事;自驾;人文,行程整体打包收费,日韩; 东南亚; 非洲; 北欧; 西欧; 中欧; 南欧; 北美; 拉丁美; 南北极; 澳新; 海岛; 中国大陆,8,知行有道体育户外文化集团，是以跨界思维设计独特体验，打造深度文化体验产品，体育户外旅行生活方式定制服务平台。业务包括体育户外旅行、户外活动赛事等。,中国,北京市,145,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,游心国际旅行社（北京）股份有限公司,北京市西城区黄寺大街23号179幢游心旅行100032,010-64688816,www.uthing.cn,包团定制; 主题定制; 自由行/半自由行定制; 会展MICE定制; 商旅定制; 团建活动定制; 到地定制,只服务直客,商务;游学;私人;蜜月等,根据客人需求确定收费方式,日韩; 东南亚; 中东; 东欧; 南欧; 澳新; 拉丁美; 港澳台; 海岛; 北美; 北欧; 西欧,30,游心旅行是一家旅行体验至上的定制旅行平台，为实际出行配以细致的贴心服务，用完美体验重新定义你的每一次旅行。基于对用户需求的深刻洞察，对旅行意义的独到见解，以专业买手姿态搜罗全球景致，精选出涵盖自由行;定制旅行;半定制旅行及碎片化的一系列高性价比旅行产品，全方位满足个性化需求，让旅行自在，记忆游心。,中国,北京市,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
